brand,name,type,afterUse,product_t,notable_e,skintype,Sensitive,Combination,Oily,Dry,Normal
Pattern by Tracee Ellis Ross,Lightweight Conditioner,Conditioner,"Reduces Irritation,Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
Yves Saint Laurent,Radiant Touch Highlighter & Concealer ,Cheek Makeup,May Worsen Oily Skin,,,,,,,,
Naked Sundays,SPF 50 Glow + Go Hydrating Lip Oil in Watermelon,Lip Moisturizer,"Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
Curel,Moisture Facial Milk,General Moisturizer,,,,,,,,,
Native,Body Lotion - Coconut & Vanilla ,Bath & Body,"Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
Cetaphil,Daily Smoothing Moisturizer for Rough and Bumpy Skin,Bath & Body,"Acne Trigger,Rosacea",,,,,,,,
Erborian,CC Cream,Face Makeup,"Redness Reducing,Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Irritating,Eczema",,,,,,,,
All Natural,Houttuynia Cordata Care Serum,Serum,,,,,,,,,
Neutrogena,Deep Clean Gentle Foaming Cleanser ,Face Cleanser,"May Worsen Oily Skin,Acne Trigger,Eczema",,,,,,,,
Belif,Creamy Cleansing Foam Moist,Face Cleanser,"Reduces Irritation,Brightening,May Worsen Oily Skin,Acne Trigger",,,,,,,,
Amika,The Kure Intense Bond Repair Hair Mask,Other Haircare,"Reduces Irritation,Reduces Large Pores,Brightening,Drying,Acne Trigger,Irritating",,,,,,,,
Sulwhasoo,Essential Balancing Water,Toner,"Scar Healing,Brightening,Rosacea",,,,,,,,
Mamonde,Petal Spa Oil to Foam Cleanser,Face Cleanser,"Brightening,Drying,Acne Trigger",,,,,,,,
Sephora Collection,Holographic Nudes Eyeshadow Palette,Eye Makeup,"May Worsen Oily Skin,Acne Trigger,Eczema",,,,,,,,
Neutrogena,Hydro Boost Express Hydrating Spray,General Moisturizer,"Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating",,,,,,,,
TAN-LUXE,The Face - Illuminating Self-Tan Drops Medium/Dark,Tanning,"Brightening,Eczema",,,,,,,,
Old Spice GentleMan's,Oasis with Vanilla Notes,Bath & Body,May Worsen Oily Skin,,,,,,,,
Formula 10.0.6,So Totally Clean Deep Pore Cleanser,Toner,"Reduces Large Pores,Anti-Aging,Drying,Irritating,Rosacea,Eczema",,,,,,,,
The Body Shop,British Rose Fresh Plumping Mask,Wet Mask,"Reduces Large Pores,Drying,Irritating",,,,,,,,
COOLA,Face Mineral Sunscreen SPF 30 Cucumber Matte Finish,Sunscreen,"Reduces Irritation,Acne Trigger",,,,,,,,
Make p:rem,UV Defense Me No Sebum Sun Cream SPF 50+ PA++++,Sunscreen,Brightening,,,,,,,,
The Face Shop,Chia Seed Hydro Toner,Toner,"Reduces Irritation,Reduces Large Pores,Drying,May Worsen Oily Skin,Irritating",,,,,,,,
MoroccanOil,Hand Wash - Spa du Maroc,Hand Care,"Reduces Large Pores,Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating",,,,,,,,
Ouai,Melrose Place Eau de Parfum,Fragrance,"Irritating,Rosacea",,,,,,,,
Suave,Essentials Gentle Body Wash - Milk & Honey,Bath & Body,"Reduces Large Pores,Brightening,Drying,Acne Trigger,Irritating",,,,,,,,
Dermacol,Black Magic Detoxifying Micellar Lotion,Makeup Remover,"Reduces Irritation,Reduces Large Pores,Drying,Irritating",,,,,,,,
St. Ives,Acne Control Face Scrub Apricot,Exfoliator,"Good For Oily Skin,Reduces Large Pores,Acne Fighting,Brightening,Drying,Acne Trigger,Irritating,Eczema",,,,,,,,
Makeup by Mario,SurrealSkin Liquid Foundation - 30W,Face Makeup,"Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating,Eczema",,,,,,,,
BioSilk,Silk Therapy with Coconut Oil Leave in Treatment,Other Haircare,"Reduces Irritation,Acne Trigger",,,,,,,,
Yves Rocher,Sensual Bath & Shower Gel - Coffee Beans,Bath & Body,"Brightening,Acne Trigger,Eczema",,,,,,,,
Guerlain,Météorites Primer Perfecting Pearls,Face Makeup,"Brightening,Rosacea,Eczema",,,,,,,,
Esfolio,Pearl Essence Sheet Mask,Sheet Mask,,,,,,,,,
Deborah Lippman,Rich Girl - SPF 25 Hand Cream ,Hand Care,"Hydrating,Redness Reducing,Irritating,Rosacea",,,,,,,,
BLITHE,Patting Splash Mask Yellow Citrus & Honey,Wet Mask,"Reduces Irritation,Reduces Large Pores,Anti-Aging,Drying,Irritating,Rosacea,Eczema",,,,,,,,
Sephora Collection,Hempseed Multi-Purpose Oil,Oil,Acne Trigger,,,,,,,,
Yanbal,Total Block Protector Matificante Mattifying Sunscreen SPF 100 PA++++,Sunscreen,"Brightening,May Worsen Oily Skin,Irritating,Rosacea",,,,,,,,
Uriage,BARIÉSUN Invisible Stick SPF 50+,Sunscreen,"Brightening,May Worsen Oily Skin,Irritating,Rosacea,Eczema",,,,,,,,
Eucerin,Skin Calming Lotion,General Moisturizer,"Redness Reducing,Anti-Aging,May Worsen Oily Skin",,,,,,,,
Institut Esthederm,Intensive Propolis Serum,Serum,,,,,,,,,
Maelove,One Cream,General Moisturizer,"Reduces Large Pores,Drying,Acne Trigger,Irritating,Rosacea",,,,,,,,
Cetaphil,Foaming Face Wash For Redness-Prone Skin,Face Cleanser,"Reduces Large Pores,Drying,Irritating",,,,,,,,
Dior,Addict Lip Sugar Scrub,Lip Moisturizer,"Anti-Aging,Scar Healing,Brightening,Acne Trigger,Irritating",,,,,,,,
The Body Shop,Green Tea and Lemon Mattifying Moisturiser For Men,Day Moisturizer,"Reduces Large Pores,Drying,Irritating,Rosacea",,,,,,,,
BeautyMaker,Oil Free Deep Cleansing Balm,Makeup Remover,Irritating,,,,,,,,
Timeless Skin Care,Dark Circle Eye Cream,Eye Moisturizer,,,,,,,,,
Harry's,Hair Spray For Men,Other Haircare,,,,,,,,,
Thank You Farmer,Back To Iceland Cleansing Water,Makeup Remover,"Reduces Irritation,Drying,Acne Trigger",,,,,,,,
Fresh,Sugar Face Polish Exfoliator,Exfoliator,"Brightening,Drying",,,,,,,,
Hugo Boss,ALIVE Perfumed Hand & Body Lotion,Bath & Body,Brightening,,,,,,,,
TFIT,Micro Bubble Clear Foam,Face Cleanser,"Reduces Irritation,Anti-Aging,Drying,May Worsen Oily Skin,Acne Trigger,Irritating",,,,,,,,
Burt's Bees,Renewal Firming Moisturizing Cream,General Moisturizer,"Anti-Aging,Dark Spots,Scar Healing,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating",,,,,,,,
Clean & Clear,Deep Action Exfoliating Scrub,Exfoliator,"Drying,Rosacea",,,,,,,,
Uriage,Cleansing Oil,Makeup Remover,"Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
COOLA,Face Mineral Sunscreen SPF 30 Matte Tint Natural Beige,Sunscreen,"Reduces Irritation,Acne Trigger,Eczema",,,,,,,,
Vichy,Aqualia Thermal Face Serum,Serum,"Reduces Large Pores,Drying,Irritating",,,,,,,,
Kneipp,Lippenpflege Hydro Pflege,Lip Moisturizer,"Brightening,Acne Trigger",,,,,,,,
Revolution Beauty,Chocolate Bar Bath Fizzer - Vanilla By I Heart Revolution,Bath & Body,"Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
Farm Stay,La Ferme Aloevera Moisture Soothing Mist,Toner,Rosacea,,,,,,,,
Babor,Skinovage Moisturizing Cream,General Moisturizer,"Hydrating,Reduces Irritation,Reduces Large Pores,Anti-Aging,Brightening,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
Billie Eilish Fragrances,Eilish Eau de Parfum,Fragrance,"Reduces Large Pores,Drying,Irritating,Rosacea",,,,,,,,
Fresh,Soy Face Cleansing Milk,Makeup Remover,"Brightening,Eczema",,,,,,,,
Adcos,Filtro Solar Ultra FPS 55 Gel Creme,Sunscreen,"Redness Reducing,Reduces Irritation,Skin Texture,Anti-Aging,Dark Spots,Brightening,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
It's Skin,Mango White Cleansing Foam,Face Cleanser,"Hydrating,May Worsen Oily Skin,Acne Trigger,Eczema",,,,,,,,
Shiseido,Waso Color-Smart Day Moisturizer Oil-Free SPF 30,Day Moisturizer,"Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
The Nue Co,Supa Thick Scalp Serum,Other Haircare,"Reduces Large Pores,Anti-Aging,Drying,Irritating,Rosacea,Eczema",,,,,,,,
Rosebud Perfume Co.,Minted Rose Lip Balm,Lip Moisturizer,May Worsen Oily Skin,,,,,,,,
Honeyrun Farm,Goat's Milk Soap,Bath & Body,"Scar Healing,May Worsen Oily Skin,Acne Trigger",,,,,,,,
Wet n Wild,Save The Day Lip Mask,Lip Mask,"May Worsen Oily Skin,Acne Trigger",,,,,,,,
Lancôme,ÉNERGIE DE VIE LIQUID CARE MOISTURIZER,General Moisturizer,"Hydrating,Reduces Large Pores,Anti-Aging,Scar Healing,Brightening,Drying,Irritating,Rosacea,Eczema",,,,,,,,
Aesop,Parsley Seed Facial Cleanser,Face Cleanser,"Reduces Irritation,Reduces Large Pores,Anti-Aging,Drying,Irritating,Rosacea,Eczema",,,,,,,,
Rohto Mentholatum,Skin Aqua UV Super Moisture Gel Gold SPF 50+ PA++++,Sunscreen,"Anti-Aging,Irritating",,,,,,,,
Frudia,My Orchard Peach Real Soothing Gel,Bath & Body,"Reduces Irritation,Anti-Aging,Scar Healing,Brightening,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
Sioris,Let Me Refresh Foam Cleanser,Face Cleanser,"Drying,Acne Trigger",,,,,,,,
AHC Beauty,Natural Perfection Fresh Sun Stick,Sunscreen,"Redness Reducing,Reduces Irritation,Reduces Large Pores,Scar Healing,Brightening,Drying,Acne Trigger,Irritating,Rosacea",,,,,,,,
SVR,Sensitive Baume Démaquillant,Makeup Remover,"Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
Boots,Soltan Protect & Moisturise Lotion SPF 50+,Sunscreen,"Brightening,Irritating,Rosacea,Eczema",,,,,,,,
Armani Beauty,Acqua Di Giò Men Deodorant Stick,Bath & Body,,,,,,,,,
The Body Shop,Seaweed Oil-Control Gel Cream,General Moisturizer,"Hydrating,Brightening,Acne Trigger",,,,,,,,
Almay,Oil-Free Eye Makeup Remover Liquid,Makeup Remover,"Reduces Large Pores,Drying,Irritating",,,,,,,,
Miguhara,Hyalucollagen Moisturizing Cream ,General Moisturizer,"Anti-Aging,Brightening,May Worsen Oily Skin,Acne Trigger",,,,,,,,
Nivea,Double Effect Eye Make-Up Remover,Makeup Remover,"Drying,Acne Trigger",,,,,,,,
Daylong,Sun to Go Stick SPF 50+ - Protect & Care,Sunscreen,"Reduces Irritation,Anti-Aging,Scar Healing,Brightening,Irritating,Rosacea,Eczema",,,,,,,,
Whamisa,Organic Flowers Sun Cream INTENSE SPF 50+ PA++++,Sunscreen,"Hydrating,Scar Healing,Acne Trigger",,,,,,,,
Nivea,Hydrating Cleansing Oil,Makeup Remover,"Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating",,,,,,,,
Uriage,Roséliane Anti-Redness Cream SPF 30,Sunscreen,"Hydrating,Reduces Large Pores,Brightening,Drying,Irritating,Rosacea",,,,,,,,
NEST New York,Wisteria Blue Eau de Parfum,Fragrance,Irritating,,,,,,,,
Essence,Lash Princess Eyeliner - Black,Eye Makeup,"Drying,Acne Trigger",,,,,,,,
Chanel,La Base Protective and Smoothing Nail Treatment,Nail Care,"Brightening,Eczema",,,,,,,,
Neutrogena,Pink Grapefruit Activated Cream-to-Foam Cleanser for Acne-Prone Skin,Face Cleanser,"Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Rosacea",,,,,,,,
Origins,Original Skin Matte Moisturizer with Willowherb,General Moisturizer,"Good For Oily Skin,Reduces Large Pores,Scar Healing,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Irritating,Eczema",,,,,,,,
A'Pieu,Nonco Tea Tree Cleansing Foam,Face Cleanser,"Good For Oily Skin,Reduces Irritation,Brightening,May Worsen Oily Skin,Acne Trigger,Rosacea",,,,,,,,
Nip + Fab,Salicylic Fix Scrub,Exfoliator,"Good For Oily Skin,Reduces Large Pores,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
REVOX B77,Face Cream Light Texture,General Moisturizer,"Reduces Large Pores,Drying,Acne Trigger,Irritating,Rosacea",,,,,,,,
Aveeno,Skin Relief Body Wash ,Bath & Body,"Reduces Large Pores,Drying,Irritating",,,,,,,,
Physiogel,Calming Relief A.I. Cream,General Moisturizer,Acne Trigger,,,,,,,,
Curlsmith,Essential Moisture Cleanser,Shampoo,"Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
innisfree,Intensive Hydrating Eye Roll-On with Green Tea Seed,Eye Moisturizer,"Reduces Irritation,May Worsen Oily Skin,Acne Trigger",,,,,,,,
Shiseido,Senka Perfect Whip Collagen Cleanser,Face Cleanser,"Reduces Large Pores,Anti-Aging,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Eczema",,,,,,,,
Clarins,RE-BOOST Matifying Hydrating Cream,Day Moisturizer,"Reduces Large Pores,Drying,Acne Trigger,Irritating,Eczema",,,,,,,,
Lisa Eldridge,Elevated Glow Highlighter,Cheek Makeup,"Drying,Acne Trigger,Rosacea,Eczema",,,,,,,,
Ouai,Scalp & Body Scrub,Bath & Body,"Reduces Irritation,Reduces Large Pores,Drying,Acne Trigger,Irritating,Eczema",,,,,,,,
Biotera,Ultra Moisturizing Leave-In Conditioner ,Other Haircare,"Reduces Large Pores,Brightening,Drying,Acne Trigger,Irritating",,,,,,,,
J.R. Watkins,SLEEP Aromatherapy In-Shower Mist,Fragrance,"Irritating,Rosacea,Eczema",,,,,,,,
Ralph Lauren,Romance Eau de Parfum,Fragrance,Rosacea,,,,,,,,
Soap & Glory,Glow To Sleep Vitamin C Radiance Boosting Sleep Mask,Overnight Mask,"Redness Reducing,Skin Texture,Reduces Large Pores,Anti-Aging,Dark Spots,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea",,,,,,,,
Elemis,Pro-Collagen Rose Facial Oil,Oil,"Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating",,,,,,,,
MACQUEEN,UV Daily Suncream SPF 50+ PA+++,Sunscreen,"Good For Oily Skin,Redness Reducing,Reduces Irritation,Acne Fighting,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea",,,,,,,,
Sephora Collection,Repairing Hair Mask,Other Haircare,"Reduces Large Pores,Anti-Aging,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
Essie,Hard to Resist Advanced Nail Strengthener,Nail Care,"Reduces Large Pores,Drying,Irritating,Eczema",,,,,,,,
Kiehl's,Lip Balm #1,Lip Moisturizer,"Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Irritating",,,,,,,,
Hey Humans,Naturally Derived Body Wash - Banana Aloe,Bath & Body,"Reduces Large Pores,Drying,May Worsen Oily Skin,Acne Trigger,Irritating",,,,,,,,
Organic Sun,Eco After Sun Facial,Facial Treatment,"Reduces Irritation,Brightening,Acne Trigger",,,,,,,,
Bobbi Brown,Extra Eye Repair Cream,Eye Moisturizer,"Hydrating,Reduces Irritation,Scar Healing,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Eczema",,,,,,,,
Dr. Jart+,Shake & Shot Soothing Rubber Mask,Wet Mask,,,,,,,,,
Missha,Time Revolution Night Repair Ampoule Balm Stick,Night Moisturizer,"Hydrating,Redness Reducing,Reduces Irritation,Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
Estée Lauder,Swiss Performing Extract,Essence,"Hydrating,Anti-Aging,Brightening,May Worsen Oily Skin,Acne Trigger",,,,,,,,
Flower Beauty by Drew,Light Illusion Full Coverage Concealer,Face Makeup,"Drying,Acne Trigger,Eczema",,,,,,,,
Equate,Coconut & Pear Lip Balm,Lip Moisturizer,"Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating",,,,,,,,
L'Occitane,Lavender Hand Cream,Hand Care,"Anti-Aging,Scar Healing,Brightening,Acne Trigger,Irritating",,,,,,,,
Shiseido,WASO: Gentle Cleanser,Face Cleanser,"Reduces Large Pores,Scar Healing,Brightening,Drying,Acne Trigger,Irritating",,,,,,,,
Lubriderm,UV-15 Protección Solar (UV-15 Sun Protection),Bath & Body,"Reduces Irritation,Brightening,Irritating,Rosacea,Eczema",,,,,,,,
ATOPALM,Fresh 2 in 1 Shampoo Kids,Shampoo,"Reduces Irritation,Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
Kerstin Florian,Turkish Body Scrub,Bath & Body,"Good For Oily Skin,Drying",,,,,,,,
Secret Key,Starting Treatment Rose Ampoule,Serum,Hydrating,,,,,,,,
[ comfort zone ],Essential Face Wash Foam Cleanser,Face Cleanser,"Drying,May Worsen Oily Skin,Acne Trigger",,,,,,,,
Frudia,Pomegranate Nutri-Moisturizing Cream,General Moisturizer,"Brightening,Drying,Acne Trigger",,,,,,,,
Nair, Baby Oil Body Cream Hair Remover ,Bath & Body,"May Worsen Oily Skin,Acne Trigger",,,,,,,,
Shiseido,ControlledChaos MascaraInk - 01 Black Pulse,Eye Makeup,May Worsen Oily Skin,,,,,,,,
Merle Norman,Dual Action Eye Makeup Remover,Makeup Remover,"Drying,Acne Trigger",,,,,,,,
Lumene,Radiance Boosting Cleansing Cream,Face Cleanser,"Drying,Acne Trigger",,,,,,,,
Peter Thomas Roth,Therapeutic Sulfur Mask,Wet Mask,Eczema,,,,,,,,
SNP,Triple Water Deep Clean Facial Foam,Face Cleanser,"Good For Oily Skin,May Worsen Oily Skin,Acne Trigger,Rosacea",,,,,,,,
Shiseido,Wrinkle Smoothing Eye Cream,Eye Moisturizer,"Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Irritating,Rosacea",,,,,,,,
Sol De Janeiro,Brazilian Bum Bum Cream,General Moisturizer,"Anti-Aging,Scar Healing,Brightening,Acne Trigger,Irritating,Eczema",,,,,,,,
Origins,10 Minute Mask To Rescue Problem Skin,Wet Mask,"Good For Oily Skin,Reduces Large Pores,Acne Fighting,Brightening,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
TAN-LUXE,The Crème Gradual Self-Tanning Face Moisturizer,Tanning,"Brightening,Acne Trigger,Eczema",,,,,,,,
Monday Haircare,Moisture Shampoo ,Shampoo,"Reduces Large Pores,Brightening,Drying,Acne Trigger,Irritating",,,,,,,,
Kose Cosmeport,Sekkisei Treatment Cleansing Oil,Makeup Remover,"Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Irritating,Rosacea",,,,,,,,
Maybelline,Brow Fast Sculpt ,Face Makeup,"Reduces Irritation,Drying,Acne Trigger,Eczema",,,,,,,,
Glytone,Acne Clearing Cleanser,Face Cleanser,"Drying,May Worsen Oily Skin,Irritating",,,,,,,,
Kérastase,Défense Thermique,Other Haircare,"Anti-Aging,Scar Healing,Brightening,Acne Trigger,Irritating",,,,,,,,
Elemis,Dynamic Resurfacing Facial Wash,Face Cleanser,"Reduces Large Pores,Brightening,Drying,Acne Trigger,Irritating,Eczema",,,,,,,,
St. Ives,Exfoliating Body Wash - Sea Salt & Pacific Kelp ,Bath & Body,"Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
SkinRX Lab,MadeCera Cream Mild Whipped Cleanser,Face Cleanser,"Redness Reducing,Anti-Aging,May Worsen Oily Skin,Acne Trigger",,,,,,,,
Yves Saint Laurent,Couture Liquid Eyeliner,Eye Makeup,"Reduces Large Pores,Drying,Irritating,Eczema",,,,,,,,
Johnson's Baby,Baby Oil with Shea & Cocoa Butter,Bath & Body,"May Worsen Oily Skin,Acne Trigger",,,,,,,,
Bliss,Block Star Invisible Daily Sunscreen,Sunscreen,May Worsen Oily Skin,,,,,,,,
It’s a 10,Miracle Leave-In Product,Other Haircare,"Reduces Irritation,Acne Trigger",,,,,,,,
L'Oreal,Delicate Flowers Tonic,Makeup Remover,"Hydrating,Reduces Irritation",,,,,,,,
The Body Shop,Tea Tree Squeaky-Clean Exfoliating Face Scrub,Exfoliator,"Good For Oily Skin,Brightening,Drying,Acne Trigger,Rosacea,Eczema",,,,,,,,
REN Clean Skincare,ClearCalm Clarifying Clay Cleanser,Face Cleanser,"Reduces Irritation,Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
Mizon,Collagen Milky Deep Cleansing Foam,Face Cleanser,"Redness Reducing,Anti-Aging,Rosacea,Eczema",,,,,,,,
Prada,Candy Eau de Parfum,Fragrance,"Irritating,Rosacea",,,,,,,,
Bloom Effects,Royal Tulip Cleansing Jelly,Face Cleanser,Eczema,,,,,,,,
Maybelline,The Colossal Black Mascara,Eye Makeup,"Reduces Irritation,Anti-Aging,May Worsen Oily Skin,Eczema",,,,,,,,
APRILSKIN,Calendula Peel Off Mask,Wet Mask,"Reduces Irritation,Rosacea",,,,,,,,
Avène,Cleanance Comedomed Concentrate Blemish Control Serum,General Moisturizer,Eczema,,,,,,,,
StriVectin,Peptight Tightening & Brightening Face Serum,Serum,"Redness Reducing,Anti-Aging,Scar Healing,Brightening,Acne Trigger,Irritating,Eczema",,,,,,,,
Nizoral,Anti-Dandruff Shampoo,Shampoo,"Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
Bione, Professional Peeling Cucumber - Scrub,Exfoliator,Eczema,,,,,,,,
The Face Shop,Beyond - Angel Aqua Moisture Cleansing Foam,Face Cleanser,"Reduces Irritation,May Worsen Oily Skin,Acne Trigger",,,,,,,,
Dr. Dennis Gross Skincare,Hyaluronic Marine Meltaway Cleanser,Face Cleanser,"Reduces Large Pores,Anti-Aging,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
Paul Mitchell,Invisiblewear Shampoo ,Shampoo,"Hydrating,Reduces Irritation,Reduces Large Pores,Drying,Acne Trigger,Irritating,Eczema",,,,,,,,
Fresh,Rose Deep Hydration Sleeping Mask,Overnight Mask,"Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Irritating,Rosacea",,,,,,,,
Moist Diane,Perfect Beauty Extra Smooth and Straight Hair Mask,Other Haircare,"Redness Reducing,Reduces Large Pores,Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating,Rosacea",,,,,,,,
Neutrogena,Makeup Remover Cleansing Face Wipes,Makeup Remover,"Drying,Eczema",,,,,,,,
NYX Cosmetics,Eye & Lip Makeup Remover,Makeup Remover,"Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
NEST New York,Bamboo Liquid Hand Soap,Hand Care,"Reduces Irritation,Reduces Large Pores,Drying,Irritating,Eczema",,,,,,,,
Burt's Bees,Restoring Cleansing Balm,Makeup Remover,May Worsen Oily Skin,,,,,,,,
Monroe Skincare,Matte Styling Clay,Other Haircare,May Worsen Oily Skin,,,,,,,,
MoroccanOil,Moroccanoil Treatment Hair Oil,Other Haircare,,,,,,,,,
Tangle Teezer,Everyday Detangling Spray for Fine & Medium Hair - Wheat Protein,Other Haircare,,,,,,,,,
Bioderma,Sensibio DS+ Cream - Soothing Purifying Cream,Facial Treatment,"Reduces Irritation,Acne Trigger",,,,,,,,
Nudestix,Hydra-Peptide Lip Butter,Lip Moisturizer,"Drying,Acne Trigger",,,,,,,,
C’est Moi,Sunshine Mineral Sunscreen Lotion Broad Spectrum SPF 45 ,Sunscreen,"Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Eczema",,,,,,,,
BrioGeo,"Don't Despair, Repair!™ Deep Conditioning Hair Mask",Conditioner,"Hydrating,Reduces Irritation,Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
René Furterer,Triphasic Texturizing Conditioner,Conditioner,"Reduces Large Pores,Anti-Aging,Brightening,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
Shiseido,Clarifying Cleansing Foam,Face Cleanser,"Hydrating,Brightening,May Worsen Oily Skin,Acne Trigger",,,,,,,,
The Handmade Soap Co.,Bergamot & Eucalyptus Art Deco Hand Wash,Hand Care,"Reduces Large Pores,Drying,Irritating",,,,,,,,
Milk + Honey,Gel Cleanser,Face Cleanser,"Reduces Large Pores,Drying,Acne Trigger,Irritating",,,,,,,,
L.A. Girl,Tinted Foundation Natural Finish # Bisque,Face Makeup,"Reduces Irritation,Brightening,Drying,Acne Trigger,Eczema",,,,,,,,
Romand,Glasting Melting Balm - Lovey Pink,Lip Makeup,"Reduces Irritation,May Worsen Oily Skin",,,,,,,,
Tula Skincare,Brighten Up Smoothing Primer Gel,Makeup Remover,"Reduces Large Pores,Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
Dior,Sauvage Eau de Toilette,Fragrance,"Brightening,Irritating,Rosacea",,,,,,,,
9wishes,Sun Moisturizer SPF 50+ PA+++,Sunscreen,"Good For Oily Skin,Redness Reducing,Scar Healing,Acne Fighting,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
Daylong,Sun & Snow Creme Plus Stick SPF 50+ - Protect & Care,Sunscreen,"Reduces Irritation,Anti-Aging,Scar Healing,Brightening,Irritating,Rosacea,Eczema",,,,,,,,
It's Skin,Have A Banana Cleansing Foam,Face Cleanser,"May Worsen Oily Skin,Acne Trigger",,,,,,,,
AROMA,Bio Aloe & Pomegranate Body Butter,Bath & Body,"Reduces Irritation,May Worsen Oily Skin,Acne Trigger,Eczema",,,,,,,,
Mario Badescu,Hyaluronic Day Cream,Day Moisturizer,"Anti-Aging,Scar Healing,Brightening,Drying,May Worsen Oily Skin,Acne Trigger,Irritating,Eczema",,,,,,,,
Frudia,Citrus Brightening Micro Cleansing Foam ,Face Cleanser,"Anti-Aging,Scar Healing,Brightening,May Worsen Oily Skin,Acne Trigger,Irritating",,,,,,,,
Monday Haircare,Repair Conditioner,Conditioner,"Reduces Irritation,Reduces Large Pores,Brightening,Drying,Acne Trigger,Irritating",,,,,,,,
Neutrogena,Oil Free Moisture SPF 15,Day Moisturizer,"Irritating,Rosacea,Eczema",,,,,,,,
Ouai,Body Crème St. Barts,Bath & Body,"Reduces Large Pores,Anti-Aging,Scar Healing,Brightening,Drying,Acne Trigger,Irritating,Rosacea",,,,,,,,
Sulwhasoo,First Care Activating Serum Mist,Serum,"Scar Healing,Drying,Acne Trigger",,,,,,,,
Shaz & Kiks,Balancing Clay Hair Cleanser Shampoo,Shampoo,"Reduces Large Pores,Anti-Aging,Drying,Acne Trigger,Irritating,Rosacea,Eczema",,,,,,,,
Supergoop!,Unseen Sunscreen Body SPF 40,Sunscreen,"Irritating,Rosacea,Eczema",,,,,,,,
Missha,Airy Fit Sheet Mask - Red Ginseng,Sheet Mask,"May Worsen Oily Skin,Acne Trigger",,,,,,,,
Cetaphil,DailyAdvance Ultra Hydrating Lotion,General Moisturizer,"Reduces Irritation,Brightening,Acne Trigger",,,,,,,,
Peter Thomas Roth,Rose Stem Cell Bio-Repair Gel Mask,Wet Mask,"Irritating,Rosacea",,,,,,,,
Missha,Magic Cushion Moist Up,Face Makeup,"Good For Oily Skin,Redness Reducing,Acne Fighting,Brightening,Acne Trigger,Irritating,Rosacea",,,,,,,,
